V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,treatment,purchase
0.18,A,0.06,0.6,63.73,2.8,50.35,0.4,0.32,13.06,13,12.03,0.22,16.99,6,0,0.07,0,B,20.15,0,0
0.81,A,0.83,0.05,1196.36,10.46,44.27,0.59,0.97,10.96,8,33.88,0.05,0.99,10,0.01,0.43,0,N,15.19,0,0
1.31,A,0.79,0.19,383.55,2.16,50.9,0.85,0.59,3.83,15,39.37,0.56,17.34,6,0.39,5.99,0,D,12.33,0,0
0.88,A,0.71,0.96,1115.88,0.85,43.39,0.2,3.8,4.39,16,37.48,0.67,150.99,5,0.55,0.77,1,A,22.51,0,1
1.37,A,0.98,0.41,146.62,1.44,51.88,0.45,2.34,12.49,17,16739.1,0.41,100.79,4,0.08,0.12,0,B,27.31,0,0
2.57,A,0.3,0.5,36.17,0.18,41.11,0.3,3.42,11.76,11,63.34,0.51,0.28,12,0.97,1.91,0,A,31.14,0,0
0.7,A,0.03,0.25,67.44,1.56,42.1,0.55,1.38,10.03,10,9.6,0.6,0.15,14,0.64,0.62,0,C,25.9,0,0
5.17,A,0.87,0.36,380.14,2.14,42.3,0,1.05,13.56,7,157.81,0.2,8.38,10,0.11,0.01,0,A,23.79,1,0
4.64,A,0.88,0.06,6.77,1.32,42.59,0.67,1.25,12.79,11,822.18,0.36,0.39,12,0.86,2.35,0,G,20.72,0,0
0.14,A,0.9,0.63,2585.03,1.46,40.54,0.67,6.12,5.86,14,63.77,0.78,24.31,8,0.25,0.85,0,B,22.45,0,0
3.64,A,0.59,0.18,10.63,0.48,34.19,0.14,1.59,15.61,9,242.27,0.33,0.54,14,0.71,2.66,0,A,28,0,0
0.71,A,0.61,0,0.77,3.56,33.69,0.02,2.26,15.74,6,1352.05,0.02,0.05,13,0.57,0.9,0,E,9.15,0,0
0.79,A,0.39,0.81,109.99,0.05,46.71,0.7,1.89,7.81,17,3.28,0.78,19.83,9,0.38,3.85,0,A,28.39,0,0
0.46,A,0.31,0.8,31.86,1.22,49.99,0.77,2.97,9.08,20,40.6,0.4,8.76,6,0.22,1.43,0,B,18.24,0,0
2.65,A,0.77,0.27,829.31,2.85,52.09,0.44,4.37,6.55,17,3044.09,0.34,7.76,5,0.46,1.63,0,D,19.15,0,0
5.87,A,0.83,0.19,18.62,4.25,49.84,0.71,0.01,12.21,12,197.9,0.65,0.37,10,0.44,0.65,0,H,23.29,1,0
0.84,A,0.05,0.66,25.81,0.88,45.13,0.18,0.67,14.86,11,51.35,0.22,1.04,10,0.22,0.45,0,B,29.74,1,0
0.99,A,0.11,0.23,3.1,3.37,37.44,0.34,0.03,13.54,6,6.64,0.3,0.08,12,0.33,0.38,0,C,10.27,0,0
5.04,A,0.99,0.3,106.84,0.27,40.22,0.2,0.47,10.1,11,265.8,0.98,2.49,12,0.88,2.84,0,A,24.49,0,0
0.28,A,0.08,0.25,137.69,0.64,46.4,0.48,1.86,7.38,14,8.55,0.96,0.23,15,0.92,1.34,0,C,30.94,0,0
0.66,A,0.96,0.08,80.79,3.54,43.16,0.52,1.76,10.48,10,5925.03,0.02,5.52,7,0.07,1.18,0,F,14.67,0,0
10.91,A,0.79,0.05,286.78,2.64,46.29,0.1,0.4,5.43,15,198.02,0.92,23.11,6,0.56,0.07,0,A,26.15,0,0
0.02,A,0.07,0.52,10.24,0.4,40.51,0.92,2.39,8.62,13,2.69,0.35,0.37,13,0.67,8.98,0,E,15.58,0,0
2.09,A,0.86,0.18,12.61,1.43,40.62,0.35,3.69,10.9,12,201.07,0.02,0.83,11,0.15,0.79,0,B,13.66,0,0
1.68,A,0.46,0.69,1066.45,1.32,50.78,0.91,0.7,3.89,14,1.87,0.69,23.29,8,0.27,1,0,B,21.83,1,0
2.8,A,0.79,0.85,153.67,2.58,45.03,0.04,3.07,11.76,13,305.62,0.19,25.33,8,0.18,0.04,0,B,24.09,0,0
1.51,A,0.78,0.75,100.46,2.44,45.74,0.02,3.53,9.16,15,671.79,0.34,17.78,4,0.39,0.2,0,B,16.89,0,0
0.75,A,0.35,0.49,6.93,0.47,41.55,0.97,1.67,7.72,14,27.78,0.68,0.36,13,0.91,6.27,0,E,22.75,0,0
0.06,A,0.14,0.46,178.28,3.55,46.76,0.79,10.07,2.44,21,66.61,0.3,15.44,4,0.35,0.58,0,B,13.82,0,0
0.13,A,0.19,0.75,6.11,1.99,36.69,0.87,3.97,10.56,9,22.29,0.44,0.03,13,0.76,1.19,0,F,10.88,1,0
0.68,A,0.44,0.52,146.34,4.38,55.46,0.91,2.35,8.95,18,339.87,0.27,3.53,5,0.19,0.74,0,I,17.41,0,0
0.11,A,0.11,0.93,56,0.12,44.17,0.56,5.1,5.97,15,36.49,0.39,0.69,9,0.86,4.03,0,A,15.7,0,0
0.22,A,0.17,0.55,65.79,0.77,44.73,0.33,1.02,8.49,15,22.74,0.77,6.28,8,0.14,0.66,0,A,16.59,1,0
1.11,A,0.33,0.02,56.54,1.15,49.8,0.51,0.54,14.28,13,165.18,0.18,3.33,11,0.1,2.79,0,F,27.83,0,0
10.17,A,1,0.05,513.28,4.09,48.98,0.76,0.77,4.46,15,3708.44,0.7,46.98,3,0.5,1.93,0,C,13.68,0,0
1.37,A,0.79,0.59,184.24,1.27,43.25,0.72,1.54,6.51,12,72.93,0.74,2.87,6,0.72,1.12,0,A,20.05,0,0
1.63,A,0.15,0.54,349.49,0.07,40.49,0.31,2.6,11.27,11,1.2,0.98,5.16,11,0.9,3.03,0,A,34.27,0,0
1.92,A,0.37,0.59,49.51,0.59,48.01,0.17,0.75,12.41,10,434.98,0.71,0.48,10,0.41,0.02,0,A,28.29,0,0
5.33,A,0.59,0.23,37.58,0.84,43.21,0.57,0.1,11.71,12,126.51,0.74,1.21,9,0.36,2.12,0,A,18.36,0,0
0.41,A,0.12,0.83,16.05,0.27,41.98,0.12,0.18,11.32,6,45.55,0.23,0.9,9,0.35,0.81,0,A,22.57,0,0
0.41,A,0.48,0.13,53.28,7.06,46.77,0.8,0.36,8.59,12,225.2,0.37,0.07,9,0.47,2.4,0,O,6.16,0,0
0.82,A,0.49,0.87,11.38,0.2,42.2,0.24,7.7,13.37,17,30938.33,0.32,2.2,6,0.79,3.36,0,A,24.75,0,0
0.61,A,0.1,0.42,15.91,0.95,48.08,0.41,1.25,8.95,17,48.48,0.8,0.2,11,0.73,2.3,0,B,16.54,0,0
3.56,A,0.95,0.01,173.64,4.48,40.89,0.61,0.55,12.03,9,1.15,0.68,3.38,12,0.13,0.24,0,B,26.62,1,0
2.41,A,0.74,0.93,373.04,0.44,48.54,0.42,2.13,6.27,14,73.43,0.89,8.57,5,0.88,2.29,1,A,19,0,0
1.57,A,0.44,0.85,25.64,1.28,48.43,0.21,2.78,13.1,17,345.45,0.35,0.38,6,0.56,1.7,0,B,18.54,0,0
1.71,A,0.92,0.02,831.27,7.67,36.37,0.76,5.85,7.54,10,5.46,0.3,15.72,12,0.37,0.74,0,J,27.24,1,0
5.02,A,0.79,0.23,3496.24,4.13,51.75,0.22,2.08,4.35,18,102.39,0.88,9.86,5,0.72,0.7,0,B,19.9,0,0
0.74,A,0.19,0.25,232.72,1.86,45.07,0.4,3.07,9.77,10,211.78,0.27,4.75,8,0.3,0.5,0,B,24.87,0,0
0.38,A,0.2,0.84,7.08,0.28,45.46,0.95,5.15,5.07,18,10.76,0.64,2.29,8,0.9,1.57,0,B,19.6,0,0
3.07,A,0.56,0.91,343.03,0.15,53.05,0.47,0.11,9.42,17,6.9,0.95,2.82,9,0.45,6.2,0,A,20.15,0,0
0.29,A,0.18,0.77,92,0.85,53.48,0.83,2.13,9.23,19,211.78,0.82,0.29,7,0.58,1.09,0,B,19.32,0,0
1.07,A,0.5,0.07,3.05,2.71,41.81,0.51,0.54,9.37,9,537.2,0.11,0.81,8,0.3,0.35,0,B,7.39,0,0
1.02,A,0.2,0.8,912.07,1.59,56.29,0,4.07,15.23,15,21527.68,0.51,0.28,5,0.37,0.07,0,A,24.64,0,0
0.91,A,0.99,0.12,288.22,3.67,39.53,0.39,13.34,9.39,11,181.14,0.19,15.27,8,0.46,0.34,0,E,19.56,0,0
0.5,A,0.8,0.96,17.09,0.11,47.05,0.94,2.89,13.33,19,72.78,0.08,1.86,10,0.18,6.79,0,D,26.01,0,0
0.04,A,0.46,0.94,16.2,2.26,52.76,0.95,0.17,5.98,18,21.7,0.04,15.13,6,0.02,2.09,0,I,8.13,0,0
4.67,A,0.29,0.94,311.85,0.12,49.45,0.27,1.92,8.27,16,20.4,0.95,1.33,6,0.93,4.75,0,A,20.26,0,1
3.52,A,0.89,0.65,2278.28,0.38,42.7,0.23,4.3,12.36,6,64.06,0.62,21.48,5,0.75,0.45,1,A,33.03,0,0
2.59,A,0.02,0.77,12.31,2.56,46.82,0.9,0.71,8.2,19,24.32,0.79,0.19,8,0.78,1.77,0,B,14.23,0,0
1.54,A,0.62,0.48,22.95,0.74,40.03,0.46,1.53,7.05,16,16.53,0.87,1.22,10,0.98,4.55,1,C,19.35,1,0
3.04,A,0.26,0.95,39.26,0.22,47.82,0.84,0.25,6.9,18,49.15,0.82,5.93,6,0.5,3.14,0,A,18.51,0,0
2.73,A,0.79,0.65,658.08,0.05,43.37,0.22,5.68,4.89,15,23.75,0.94,80.64,8,0.94,3.86,0,A,28.47,0,0
1.83,A,0.38,0.12,107.63,1.77,43.2,0.31,5.38,6.83,13,16.09,0.19,4.25,9,0.68,1.15,0,A,21.07,0,0
0.31,A,0.55,0.17,85,2.24,49.51,0.72,5.93,9.36,14,26.91,0.27,1.76,9,0.61,1.18,0,G,22.06,0,0
2.88,A,0.73,0.83,1272.69,1.58,42.99,0.16,4.73,5.6,14,141.84,0.51,24.38,5,0.42,0.37,0,A,17.71,0,1
3.82,A,0.66,0.91,73.48,0.17,45.35,0.51,0.1,8.3,13,307.95,0.83,2.34,6,0.61,6.36,0,A,13.71,0,1
0.26,A,0.63,0.03,34.73,5.16,38.7,0.29,2.27,8.55,12,47.49,0.73,0.05,11,0.43,0.56,0,B,2.46,1,1
0.35,A,0.57,0.22,69.15,0.65,44.35,0.11,2.42,11.21,9,242.68,0.17,2.5,8,0.31,0.63,0,A,20.99,0,0
1.59,A,0.82,0.48,476.8,0.58,58.25,1,0.42,5.81,19,75.4,0.96,11.09,5,0.38,3.67,0,B,19.43,0,0
1.76,A,0.72,0.18,35.63,2.18,39.83,0.51,1.35,9.49,15,42.02,0.79,2.22,10,0.57,0.87,0,B,20.86,0,0
0.26,A,0.28,0.01,23.51,2.85,36.18,0.13,1.2,11.2,8,147.59,0.19,0.29,10,0.41,1.06,0,B,14.6,0,0
0.14,A,0.01,0.23,54.1,1.85,44.86,0.2,7.85,10.39,14,11.65,0.38,0.43,11,0.89,1.41,0,D,25.8,0,0
1.32,A,0.88,0.43,59.47,0.49,43,0.39,3.54,7.5,20,486.16,0.57,68.49,10,0.4,3.78,0,C,26.04,0,0
1.46,A,0.82,0.3,16.63,0.59,38.19,0.32,0.54,16.43,10,486.54,0.34,1.63,13,0.33,4.22,0,D,28.34,0,0
0.38,A,0.41,0.01,20.23,1.32,42.48,0.36,1.81,9.54,13,184.57,0.66,0.17,15,0.74,2.88,0,D,16.4,0,0
1.53,A,0.32,0.41,13.26,1.65,44.97,0.14,0.11,11.77,15,69.27,0.71,4.39,10,0.08,0.43,0,A,16.34,0,0
1.3,A,0.78,0.46,79.54,1.27,46.41,0.95,1.58,9.81,18,1189.74,0.84,0.69,11,0.53,2.54,0,E,21.72,1,0
4.02,A,0.78,0.51,4.07,2.4,44.75,0.5,2.41,11.59,12,5561.49,0,5.08,5,0.18,0.59,0,C,10.41,0,0
0.19,A,0.55,0.39,22.4,4.87,42.82,0.47,0.09,12.33,11,61,0.65,0.22,11,0.1,1,0,H,11.42,0,0
1.42,A,0.94,0.25,198.75,2.12,46.58,0.21,4,10.99,10,524.34,0.19,3.13,8,0.36,0.24,0,C,21.65,1,0
2.85,A,0.77,0.57,25.85,3.01,40.46,0.39,0.26,16.44,8,114.31,0.09,0.31,11,0.15,0.44,0,E,22.11,0,0
0.35,A,0.35,0.5,1560.84,0.27,45.16,0.7,2.78,3.97,14,5.21,1,1.53,11,0.85,3.41,0,A,23.68,0,0
1.17,A,0.52,0.73,8.41,1.45,43.78,0.76,0.01,8.42,17,1.31,0.78,0.87,14,0.08,2.95,0,C,10.21,1,0
2.76,A,0.06,0.73,95.21,0.02,50.84,0.18,0.33,11.98,13,624.02,0.98,0.47,8,0.95,4.57,0,A,27.53,0,0
0.65,A,0.2,0.36,3.55,2.39,41.15,0.85,2.55,13.75,12,2.8,0.09,5.04,9,0.17,0.1,0,C,27.14,1,0
0.08,A,0.31,0.53,37.32,0.54,49.13,0.11,2.13,8.99,20,2166.28,0.34,3.27,8,0.39,3.17,0,C,19.38,0,0
1.17,A,0.42,0.63,37.94,0.39,43.61,0.59,2.13,5.8,18,117.29,0.82,1.14,9,0.82,4.64,0,A,17.46,0,1
2.81,A,0.66,0.13,1691.57,0.35,47.13,0.13,1.36,5.79,13,104.91,0.95,4.96,9,0.8,1.92,0,A,24.07,1,0
5.03,A,0.51,0.4,513.16,0.88,54.17,0.35,3.44,5.78,12,197.46,0.62,2.56,4,0.92,1.76,0,A,18.24,0,0
0.17,A,0.4,0.62,12.08,0.8,49.49,0.83,8.05,6.62,22,593.46,0.48,4.27,5,0.61,0.68,0,B,19.02,1,0
0.36,A,0.24,0.7,4.72,3.02,42.24,0.67,2.25,14.24,9,60.69,0.04,0.34,5,0.35,0.54,0,D,14.17,0,0
0.21,A,0.15,0.04,7.94,4.57,37.18,0.41,4.1,14.72,9,296.57,0,0.07,12,0.21,2.17,0,L,13.29,0,0
0.44,A,0.05,0.99,11.15,1.43,44.78,0.67,3.99,10.3,14,3.32,0.05,5.28,6,0.31,0.27,0,B,21.85,0,0
2.12,A,0.36,0.62,16.34,0.14,44.01,0.54,4.28,4.08,20,59.29,0.96,31.57,9,0.99,0.91,0,A,35.7,0,0
0.26,A,0.11,0.99,5.54,0.08,45.68,0.88,0.5,10.16,15,515.87,0.54,1.67,4,0.55,2.57,0,A,19.94,0,0
4.7,A,0.51,0.6,2.34,1.65,41.82,0.06,0.22,20.84,12,1721.26,0.06,0.02,13,0.22,1.41,0,C,17.05,1,0
0.78,A,0.81,0.58,165.75,3.46,60.9,0.41,0.62,10.06,15,6051.36,0.22,2.59,2,0.02,0.16,0,B,4.95,0,0
1.26,A,0.25,0.93,524.76,1.28,48.37,0.69,0.4,8.84,18,44.72,0.96,6.94,6,0.06,0.03,0,A,23.47,0,0
0.92,A,0.07,0.17,14.63,1.74,48.88,0.17,1.06,9.05,13,445.49,0.22,0.03,11,0.84,4.22,0,D,9.04,0,0
0.59,A,0.9,0.81,1.05,4.42,34.6,0.75,2.09,12.63,11,1752.42,0.02,0.06,8,0.41,1.14,0,H,2.05,0,0
1.09,A,0.27,0.12,117.19,4.06,48.97,0.41,0.66,11.65,14,10.56,0.48,0.5,12,0.13,1.43,0,D,21.41,0,0
3.05,A,0.99,0.05,27.55,2.41,38.75,0.35,0.46,15.96,7,102.73,0.19,2.27,14,0.14,1.27,0,G,25.12,0,0
0.22,A,0.25,0.93,85.17,0.96,50.76,0.42,7.49,8.54,19,387.56,0.54,2.23,7,0.74,0.82,0,C,24.97,0,0
2.9,A,0.53,0.39,67.53,1.24,50.06,0.24,0.81,14.31,12,1705.97,0.54,0.55,10,0.58,0.46,0,D,30.29,0,0
0.52,A,0.5,0.39,20.64,0.99,46.17,0.8,1.3,13.03,11,84.45,0.21,6.85,7,0.11,0.38,0,B,26.48,0,0
0.75,A,0.64,0.43,16.63,2.66,44.34,0.87,0.82,7.31,13,2.11,0.11,0.34,12,0.57,6.25,0,J,9.8,0,0
1.34,A,0.28,0.93,12.76,0.04,40.14,0.12,2.75,11.62,12,72.43,0.7,3.39,8,0.7,0.52,0,A,28.16,0,0
0.42,A,0.06,0.42,0.8,1.62,36.44,0.21,1.75,11.75,17,219.86,0.07,1.2,9,0.23,0.72,0,B,15.02,0,0
1.64,A,0.19,0.39,49.2,1.55,50.2,0.63,2.29,10.13,21,238.93,0.57,2.1,8,0.48,3.8,0,C,23.04,0,0
0.38,A,0.42,0.89,12.02,0.29,46.15,0.68,3.91,8.69,22,528.94,0.32,3.6,6,0.45,3.38,0,A,19.12,0,0
2.39,A,0.75,0.88,2.39,1.53,38.88,0.93,3.59,9.13,19,523.9,0.24,3.53,9,0.42,0.63,0,C,20.42,0,0
0.03,A,0.06,0.93,58.17,0.08,46.04,0.95,7.39,7.73,17,3.94,0.44,203.93,5,0.19,0.29,0,A,36.48,0,0
0.83,A,0.12,0.57,4.88,0.67,41.35,0.89,2.58,8.03,14,27.61,0.36,0.58,10,0.93,4.21,0,C,18.53,0,0
1.02,A,0.18,0.57,14.42,1.65,45.43,0.37,0.98,7.9,20,73.1,0.63,3.39,12,0.22,0.63,0,B,20.91,0,0
1.13,A,0.67,0.95,1425.42,2.23,54.28,0.89,0.38,9.46,11,10.13,0.49,2.51,8,0.12,1.21,0,I,18.32,0,0
2.15,A,0.12,0.74,41.35,0.12,47.98,0.36,0.07,14.09,11,79.2,0.98,0.71,10,0.83,2.23,0,A,32.65,0,0
0.28,A,0.15,0.63,1.76,0.59,43.87,0.8,3.41,11.82,11,9.13,0.09,0.41,10,0.66,1.27,0,D,25.34,0,0
0.76,A,0.24,0.99,8366.96,0.04,49.74,0.92,4.98,4.15,13,18.56,0.85,35.26,4,0.78,4.3,0,A,27.08,0,0
1.43,A,0.72,0.08,8.51,1.03,35.51,0.31,4.74,4.97,12,59.37,0.61,4.43,10,0.96,2.35,0,A,16.5,0,0
0.45,A,0.56,0.21,41.21,0.15,43.53,0.5,0.25,6.64,10,0.68,0.6,16.45,12,0.14,0.83,0,A,23.33,0,0
2.29,A,0.22,0.96,27.6,1.63,48.48,0.82,0.45,8.96,17,123,0.6,0.16,8,0.38,0.77,0,B,11.55,0,0
2.04,A,0.72,0.01,12.07,3.41,46.64,0.57,0.73,9.17,13,248.59,0.14,0.12,12,0.81,2.39,0,J,15.46,0,0
0.93,A,0.48,0.57,25.64,0.81,41.18,0.19,6.08,9.71,16,70.68,0.49,8,10,0.44,0.26,0,A,24.81,0,1
7.72,A,0.98,0.32,20.63,0.97,41.89,0.32,0.64,12.97,15,2172.47,0.73,4.42,7,0.66,7.33,0,B,19.23,0,0
1.25,A,0.51,0.33,232.21,1.35,49.56,0.87,0.33,9.99,11,55.16,0.66,3.45,10,0.18,1.58,0,D,24.71,0,0
0.9,A,0.14,0.69,51.59,0.16,50.75,0.68,0.08,10.22,16,252.26,1,0.34,11,0.86,8.33,0,B,22.12,0,0
1.14,A,0.74,0.15,36.84,1.43,49.14,0.97,6.31,6.59,17,408.15,0.21,1.21,9,0.91,6.52,0,I,18.9,0,0
0.32,A,0.39,0.33,5.65,1.99,44.37,0.96,6.28,7.92,21,5.9,0.63,3.34,9,0.52,0.76,0,C,23.25,0,0
1.49,A,0.08,0.52,17.55,2.71,48.77,0.94,0.01,10.68,10,2.98,0.54,1.54,8,0.07,0.24,0,C,17.28,0,0
5.22,A,0.49,0.12,31.57,2.91,46.19,0.61,0,14.46,8,4.06,0.71,1.93,10,0.05,0.05,0,A,27.64,0,0
0.24,A,0.1,0.81,7.19,0.43,53.29,0.93,5.71,5.96,21,14.24,0.25,1.1,8,0.87,4.82,0,C,18.31,0,0
0.33,A,0.25,0.16,30.85,0.99,44.27,0.44,0.48,11.85,13,41.38,0.65,4.37,10,0.16,1.71,0,B,20.94,1,0
7.31,A,0.7,0.67,18.51,0.62,37.35,0.37,0.63,12.42,12,20.71,0.29,4.96,14,0.46,1.18,0,B,29.07,0,0
3.54,A,0.15,0.7,12.5,0.18,50.96,0.81,0.06,7.69,13,2.24,0.85,0.77,10,0.89,4.84,0,A,20.5,0,0
1.36,A,0.42,0.51,227.37,3.45,43.98,0.04,2.59,10.16,12,245.94,0.16,6.05,6,0.23,0,0,A,26.18,1,0
0.21,A,0.44,0.68,8.98,0.81,42.13,0.28,4.12,16.6,15,3830.41,0.06,0.85,10,0.26,1.48,0,D,26.13,0,0
7.24,A,0.66,0.61,8.07,0.51,48.19,0.22,0.27,11.17,15,32.74,0.86,13.08,7,0.74,0.74,0,A,26.32,0,0
1.29,A,0.63,0.86,235.92,4.18,49.08,0.64,1.51,10.11,14,72.35,0.43,4.22,6,0.18,0.46,0,F,20.09,0,0
0.9,A,0.05,0.53,7.7,0.89,44.92,0.45,1.56,15,16,28.8,0.06,0.96,12,0.29,4.88,0,D,25.16,1,0
0.02,A,0.54,0.18,71.72,0.4,42.71,0.34,6.43,10.94,9,973.7,0.08,0.12,9,0.58,2.66,0,B,16.13,1,1
0.32,A,0.01,0.75,13.79,0.12,48.82,0.94,1.72,8.36,19,15.28,0.3,0.51,9,0.44,7.33,0,A,19.57,0,0
1.17,A,0.86,0.34,5.37,2.44,40.41,0.71,3.59,6.83,13,478.64,0.03,5.94,5,0.62,1.53,0,E,7.94,0,0
3.08,A,0.39,0.51,49.05,0.33,47.79,0.38,2.4,12.2,20,546.41,0.54,1.71,10,0.76,8.81,0,C,24.63,0,0
0.16,A,0.35,0.64,79.7,2.15,40.51,0.09,5.16,16.31,11,110.51,0.01,0.81,13,0.06,1.96,0,H,21.25,0,0
5.95,A,0.25,0.59,211.6,1.92,51.97,0.44,0.42,11.43,11,13.66,0.81,0.28,7,0.56,0.18,0,A,19.69,0,0
1.66,A,0.83,0.12,32.66,2.34,41.04,0.44,1.8,13.84,9,38.74,0.28,2.54,10,0.35,0.42,0,C,27.91,0,0
2.76,A,0.28,0.44,2.48,1.57,52.92,0.98,0.48,2.03,18,13.38,0.71,0.95,6,0.95,3.65,0,C,8.1,0,0
0.28,A,0.42,0.93,116.07,0.39,45.52,0.79,2.29,9.94,10,591.69,0,80.38,3,0.18,1.45,0,C,25.89,0,0
7.64,A,0.92,0.11,569.19,3.34,48.06,0.34,1.63,7.25,16,2942.03,0.78,4.78,6,0.73,0.13,0,A,24.96,0,0
0.84,A,0.48,0.67,321.41,1.72,39.8,0.41,2.19,16.64,9,26.32,0.08,1.53,15,0.03,0.14,0,E,32.1,0,0
0.62,A,0.5,0.23,50.92,2.3,43.45,0.33,1.62,7.89,15,5.54,0.06,5.59,11,0.07,0.9,0,C,14.41,1,0
4.73,A,0.85,0.67,7.33,0.25,36.8,0.68,2.89,8.73,16,101.01,0.87,1.66,14,0.98,4.85,0,B,24.79,0,0
0.42,A,0.29,0.43,7.5,0.06,46.75,0.91,2.25,11.65,8,169.05,0.36,1.2,8,0.96,3.6,0,B,26.63,1,0
2.76,A,0.85,0.79,76.4,0.32,42.63,0.04,1.11,13.09,13,41.84,0.51,1.35,12,0.34,2.57,0,A,15.51,0,0
0.33,A,0.66,0.02,4.71,10.33,43.22,0.59,1.31,7.34,12,123.78,0,4.22,5,0.18,1.39,0,J,2.66,0,0
2.9,A,0.52,0.43,63.9,0.28,39.2,0.47,1.77,6.66,10,5.75,0.39,3.37,9,0.7,1.69,0,A,21.35,0,0
0.37,A,0.57,0.79,177.95,0.75,45.84,0.41,7.14,10.53,17,2238.28,0.19,28.94,6,0.43,3.19,0,E,22.73,0,1
1,A,0.97,0.09,50.64,2.29,40.71,0.69,1.31,9.89,7,347.89,0.14,7.05,9,0.15,0.12,0,D,20.98,1,0
3.52,A,0.41,0.48,13.27,0.4,39.54,0.59,0.07,11.41,12,3.31,0.74,0.27,13,0.58,5.68,0,A,18.73,0,0
3.22,A,0.93,0.04,72.04,2.84,51.49,0.55,0.05,13.98,8,663.21,0.24,1.88,6,0.08,0.93,0,C,17.06,1,0
1.01,A,0.58,0.29,280.72,3.54,43.62,0.21,1.91,8.05,13,18.67,0.84,0.73,9,0.61,0.34,0,B,15.94,0,0
0.14,A,0.56,0.16,19.62,1.19,40.64,0.53,0.07,8.53,10,105.99,0.59,1.95,10,0.18,2.46,0,C,11.82,0,0
0.72,A,0.4,0.31,83.03,2.08,37.62,0.03,1.83,12.74,9,14.69,0.53,0.26,14,0.23,0.13,0,A,19.87,0,0
1.87,A,0.38,0.83,38.41,2.46,49.37,0.24,0.68,6.53,18,7.31,0.24,1.34,7,0.14,1.52,0,A,6.28,0,0
0.05,A,0.04,0.67,2.67,0.32,42.3,0.74,0.65,7.1,16,4.7,0.5,2.41,8,0.35,2.09,0,A,18.27,0,0
0.13,A,0.46,0.78,126,5.86,46.92,0.74,2.51,7.91,16,82,0.04,1.36,6,0.02,0.28,0,F,3.44,0,0
1.4,A,0.77,0.04,96.13,5.41,38.28,0.51,1.92,15.43,10,130.3,0.1,0.27,12,0.14,0.49,0,H,25.53,0,0
5.98,A,0.83,0.13,93.83,3.73,48.71,0.11,0.87,13.14,12,581.33,0.4,2.01,8,0.47,0.66,0,D,21.39,1,0
2.39,A,0.5,0.4,206.88,5.06,44.84,0.01,2.28,12.05,9,299.14,0.24,0.83,9,0.3,0.06,0,C,12.86,0,0
7,A,0.69,0.63,65.8,0.82,49.3,0.24,0.45,14.79,10,46.99,0.8,0.38,11,0.78,2.38,0,B,22.57,0,0
1.71,A,0.74,0.02,262.02,3.37,51.04,0.58,2.65,9.58,17,507.99,0.29,44.85,5,0.1,0.97,0,C,24.72,1,0
2.7,A,0.68,0.72,163.97,1.07,56.47,0.56,0.01,7.15,13,26.41,0.72,0.85,7,0.33,4.1,0,B,6.21,0,0
0.18,A,0.21,0.72,9.76,1.21,47.04,0.87,0.16,8.31,21,4.83,0.79,25.65,8,0.02,1.1,0,B,17.91,0,0
0.32,A,0.43,0.83,16.44,0.53,46.41,0.67,4.04,17.01,14,183.01,0.36,1.31,11,0.15,0.93,0,C,29.23,0,0
4.9,A,0.81,0.47,150.26,4.89,52.91,0.93,0.39,5.7,18,435.46,0.77,6.88,5,0.6,0.69,0,F,15.62,1,0
4.42,A,0.97,0.79,42.65,2,40.63,0.36,0.48,8.72,11,37.22,0.73,4.74,11,0.52,0.31,0,B,18.2,1,1
1.66,A,0.84,0.69,304.57,1.44,43.02,0.76,2.33,9.88,11,239.05,0.51,16.23,3,0.21,0.36,0,A,19.24,1,0
2.8,A,0.8,0.65,30.9,2.28,43.08,0.24,1.94,14.58,13,81.22,0.22,10.67,8,0.1,0.11,0,B,25.25,0,0
0.47,A,0.18,0.49,5.59,1.33,43.32,0.83,2.18,9.52,17,24.67,0.45,0.69,11,0.71,1.05,0,D,22.34,0,0
0.56,A,0.23,0.95,26.36,0.09,44.82,0.12,0.61,10.43,7,8.47,0.46,1.65,8,0.37,0.67,0,A,21.45,0,0
0.29,A,0.64,0.52,68.65,2.92,50.32,0.63,2.29,10.26,15,424.75,0.03,2.31,4,0.08,0.82,0,C,11.6,0,0
0.89,A,0.34,0.7,3.05,1.21,38.06,0.21,6.43,15.01,11,52.94,0.04,0.3,14,0.64,0.85,0,D,22.28,0,0
8.01,A,0.9,0.5,8.58,0.94,50.06,0.67,0.22,6.82,14,172.21,0.82,3.38,5,0.97,1.96,0,A,15.49,0,0
1.03,A,0.18,0.56,14.8,0.12,47.06,0.64,1.01,14.57,10,68.39,0.27,0.17,10,0.78,6.53,0,B,24.23,1,0
3.31,A,0.22,0.57,285.24,0.2,46.78,0.69,0.47,12.49,16,9.18,0.74,1.67,11,0.26,6.17,0,A,25.72,1,0
1.73,A,0.07,0.99,185.77,0.03,49.5,0.37,1.69,7.85,16,256.94,0.64,1.76,5,0.85,4.93,0,A,18.31,0,1
2.31,A,0.32,0.37,2.35,2.19,47.44,0.8,1.08,7.82,21,96.01,0.59,0.34,9,0.88,4.2,0,E,11.06,1,0
